qrName,hostname,scanLimit,url
"میز 1",,,"https://cafe-kaj.ir/menu?dinein=1&table=1"
"میز 2",,,"https://cafe-kaj.ir/menu?dinein=1&table=2"
"میز 3",,,"https://cafe-kaj.ir/menu?dinein=1&table=3"
"میز 4",,,"https://cafe-kaj.ir/menu?dinein=1&table=4"
"میز 5",,,"https://cafe-kaj.ir/menu?dinein=1&table=5"
"میز 6",,,"https://cafe-kaj.ir/menu?dinein=1&table=6"
"میز 7",,,"https://cafe-kaj.ir/menu?dinein=1&table=7"
"میز 8",,,"https://cafe-kaj.ir/menu?dinein=1&table=8"
"میز 9",,,"https://cafe-kaj.ir/menu?dinein=1&table=9"
"میز 10",,,"https://cafe-kaj.ir/menu?dinein=1&table=10"
"میز 11",,,"https://cafe-kaj.ir/menu?dinein=1&table=11"
"میز 12",,,"https://cafe-kaj.ir/menu?dinein=1&table=12"
"میز 13",,,"https://cafe-kaj.ir/menu?dinein=1&table=13"
"میز 14",,,"https://cafe-kaj.ir/menu?dinein=1&table=14"
"میز 15",,,"https://cafe-kaj.ir/menu?dinein=1&table=15"
"میز 16",,,"https://cafe-kaj.ir/menu?dinein=1&table=16"
"میز 17",,,"https://cafe-kaj.ir/menu?dinein=1&table=17"
"میز 18",,,"https://cafe-kaj.ir/menu?dinein=1&table=18"
"میز 19",,,"https://cafe-kaj.ir/menu?dinein=1&table=19"
"میز 20",,,"https://cafe-kaj.ir/menu?dinein=1&table=20"
"میز 21",,,"https://cafe-kaj.ir/menu?dinein=1&table=21"
"میز 22",,,"https://cafe-kaj.ir/menu?dinein=1&table=22"
"میز 23",,,"https://cafe-kaj.ir/menu?dinein=1&table=23"
"میز 24",,,"https://cafe-kaj.ir/menu?dinein=1&table=24"
"میز 25",,,"https://cafe-kaj.ir/menu?dinein=1&table=25"
